wages,age,educ,training1,training2,Gender
19.45,27,12,3,2.9,0
28.1,31,20,4,4.2,1
19.67,28,14,3,2.9,0
31.15,31,13,4,4,0
40.62,29,17,6,5.8,0
34.85,28,14,5,4.9,1
25.65,30,15,4,4.2,1
30.62,31,17,6,6.2,0
30.4,23,12,6,5.7,0
21.05,34,13,3,3.2,1
16.68,26,10,1,1.1,1
33.87,26,16,4,3.9,1
29.42,34,13,2,2.1,1
25.79,29,14,5,5,1
34.7,28,17,5,5.1,0
31.43,35,16,5,4.7,0
28.33,28,14,8,7.9,0
38.39,28,18,7,6.9,0
38.27,25,17,1,1.3,0
28.23,28,11,2,1.9,1
19.55,26,16,2,2.1,1
29.64,29,10,3,3.1,1
28.19,23,14,2,1.9,1
35.94,30,20,3,2.8,0
24.92,23,11,3,2.8,1
44.64,33,16,8,8.2,0
22.48,25,14,3,2.9,1
34.63,28,14,5,5.1,1
37.91,30,14,5,4.9,1
36.23,36,16,5,5.1,0
26.77,32,15,2,2.1,0
28.31,29,13,3,3,0
27.53,24,14,7,6.9,0
41.68,34,15,7,6.9,0
38.32,40,18,3,2.7,1
25.92,32,18,3,3.1,0
35.15,27,14,5,5,0
29.76,26,16,5,4.7,1
34.33,22,17,3,2.4,0
41.73,30,14,4,4.4,0
25.56,23,13,3,2.9,0
37.14,31,13,6,5.7,1
38.54,27,14,8,8.2,1
34.72,27,16,3,3.4,1
30.49,28,19,4,3.8,1
36.85,26,17,6,5.9,0
39.04,28,14,5,5,0
25.21,23,11,4,4.1,1
26.25,30,13,4,3.8,1
38.16,30,18,7,7.4,1
35.26,25,11,6,5.8,1
39.57,30,16,5,5,1
32.47,28,16,3,3,1
36.56,31,16,3,2.8,1
28.42,30,14,3,2.9,1
25.54,29,15,4,4,0
23.02,28,12,3,2.9,1
32.16,28,13,2,2,0
35.92,25,14,4,3.6,1
26.89,23,14,5,5.2,1
31.21,26,13,3,3.1,1
26.29,28,11,5,5,0
32.02,28,16,3,3.3,1
27.1,25,16,3,2.8,1
31.92,27,14,3,3.1,0
31.98,29,14,5,5.3,0
32.47,28,16,4,4.1,0
33.57,28,17,5,4.9,0
34.24,30,16,6,6,0
26.73,27,13,3,2.8,1
41.12,27,18,6,6.1,1
25.98,27,12,6,6.1,1
33.17,29,14,3,2.9,0
29.75,23,15,4,3.8,1
27.04,28,13,4,4,0
30.71,28,14,4,3.9,0
30.07,29,15,4,3.9,1
25.77,30,17,4,4.4,1
25.07,25,13,3,3,0
26.46,22,14,6,5.9,0
33.84,24,16,2,1.9,0
27.05,27,12,3,2.8,0
33.33,27,13,6,6.2,0
27.64,30,14,5,5.2,0
27.5,33,16,4,4,0
27.84,27,13,9,8.7,0
27.38,32,19,4,3.7,1
32.6,30,18,4,4.2,1
37.43,32,15,6,6,0
33.29,26,12,3,2.7,1
32.55,26,16,4,4,1
33.8,29,17,4,3.7,0
29.72,28,14,5,4.8,0
32.49,27,15,5,5.4,0
43.52,29,17,5,5.1,0
21,32,12,3,2.9,1
34.07,25,12,5,4.9,1
30.46,26,18,5,5,0
31.09,31,17,3,3.1,1
40.63,29,16,5,5.1,1
32.52,29,14,5,5.2,1
30.94,29,15,4,3.6,1
24.02,26,15,6,5.7,0
29.44,26,13,4,4.1,1
36.23,24,13,3,3.4,0
32.65,30,15,3,3.2,0
22.66,29,13,2,1.8,0
24.83,29,14,4,4.1,1
33.63,25,17,4,4.2,1
40.16,29,17,5,5,0
32.22,29,16,5,4.9,0
41.72,33,16,3,2.9,0
26.82,28,17,2,1.8,1
18.28,25,12,3,3,0
29.27,28,16,4,4.1,0
31.68,23,12,3,3.2,0
24.1,31,14,4,4,1
27.22,22,12,3,2.9,1
27.35,28,13,2,2.2,0
